ticker,group,date,ao,ac,acBottomDepth,entryPrice,return4W,return8W,return12W,maxDrawdown12W,aoLagWeeks
XLP,Defensive,2010-09-10,-0.0172,-0.0032,0.0333,18.01,3.17,6.54,5.44,-2.10,1
XLP,Defensive,2011-09-02,-0.5222,-0.5378,0.1696,20.42,-1.55,4.59,0.81,-4.35,10
XLP,Defensive,2011-10-14,-0.4928,-0.1221,0.5853,20.93,1.98,3.69,5.12,-3.62,4
XLP,Defensive,2014-02-14,-0.0121,-0.5947,0.0264,30.26,1.77,2.70,6.92,-0.57,4
XLP,Defensive,2015-07-02,-0.5491,-0.4546,0.0057,36.18,4.44,-1.10,-0.79,-7.53,3
XLP,Defensive,2015-09-18,-1.5091,-1.0567,0.0872,35.67,5.17,1.36,4.85,-5.74,6
XLP,Defensive,2016-10-14,-0.6094,-0.8326,0.0722,40.58,-3.49,-0.63,0.26,-4.12,
XLP,Defensive,2016-12-09,-2.2108,-0.4321,0.4005,40.33,0.90,2.60,6.74,-1.15,11
XLP,Defensive,2017-10-06,-0.4580,-0.3506,0.0176,42.82,-1.25,4.42,6.50,-2.69,10
XLP,Defensive,2017-10-27,-1.0451,-0.3737,0.0220,42.26,3.15,7.89,10.09,-0.49,7
XLP,Defensive,2018-03-16,-0.9890,-0.9720,0.4389,42.93,-1.24,-6.97,-4.54,-6.97,
XLP,Defensive,2018-04-27,-2.8286,-0.5062,0.9046,40.93,-1.75,2.47,4.91,-2.42,
XLP,Defensive,2018-05-25,-4.2156,-0.7084,0.0477,40.21,4.30,6.78,11.15,-1.93,12
XLP,Defensive,2019-01-18,-2.0795,-1.6639,0.2690,43.31,3.62,4.86,7.73,-1.37,6
XLP,Defensive,2020-04-03,-5.6120,-3.3261,0.4208,47.23,4.10,7.01,4.02,-5.14,
XLP,Defensive,2021-03-12,-0.1500,-0.5069,0.5330,57.71,4.74,7.36,8.70,-0.87,2
XLP,Defensive,2022-06-10,-0.8677,-2.1789,0.0840,64.62,2.10,4.54,1.63,-5.66,11
XLP,Defensive,2022-06-24,-2.6625,-1.7675,0.5045,65.93,0.48,5.57,-2.09,-7.26,9
XLP,Defensive,2022-10-21,-4.9895,-1.6630,0.2899,62.77,8.37,8.63,9.24,-3.02,6
XLP,Defensive,2023-02-24,-0.0504,-0.6174,0.2320,66.70,0.83,5.81,4.91,-2.20,7
XLP,Defensive,2023-03-17,-0.7029,-0.4194,0.4299,66.15,4.75,7.45,1.87,-5.59,4
XLP,Defensive,2023-06-23,-0.6324,-1.4472,0.1542,68.49,2.51,-1.03,-2.34,-5.78,5
