ticker,date,sector,ret4W,ret8W,ret12W,maxDD,aoLag,aoBottomDepth,aoRecovery,macroFilter,clean
VLO,2010-10-01,XLE,0.0170,0.1111,0.3076,0.0000,6,2,0.340588,bull,true
VLO,2011-10-21,XLE,-0.0733,-0.1281,-0.1069,-0.1404,16,7,0.763156,bear,true
VLO,2012-01-20,XLE,0.0695,0.1979,0.0331,0.0000,3,15,3.096119,bull,true
VLO,2013-10-18,XLE,0.0997,0.1857,0.3685,0.0000,3,12,1.189528,bull,true
VLO,2024-11-22,XLE,-0.1584,0.0010,-0.0317,-0.1584,29,2,2.168718,bull,false
PXD,2003-10-10,XLE,-0.0112,0.1048,0.1919,-0.0441,1,8,0.906471,bull,true
PXD,2015-10-02,XLE,0.0371,0.0938,-0.0545,0.0000,8,2,3.539763,bear,true
PXD,2019-11-08,XLE,-0.0081,0.1393,0.0030,-0.0530,7,9,8.161515,bull,true
PXD,2020-11-27,XLE,0.0220,0.1973,0.2227,0.0000,1,16,6.325432,bull,true
OXY,2002-08-30,XLE,-0.0251,-0.0332,-0.0475,-0.0451,1,2,1.490265,bear,true
OXY,2015-04-17,XLE,-0.0458,-0.0248,-0.0808,-0.0458,30,15,6.391856,bull,true
OXY,2015-10-16,XLE,-0.0097,-0.1006,-0.1395,-0.1006,4,2,1.770985,bear,true
OXY,2019-07-12,XLE,-0.0887,-0.1210,-0.1526,-0.1808,52,3,1.239353,bull,false
OXY,2024-12-06,XLE,0.0673,-0.0142,0.0321,-0.0142,39,9,1.174204,bull,true
OXY,2025-01-03,XLE,-0.0764,-0.0331,-0.0284,-0.0764,35,13,1.153403,bull,true
WMB,2001-08-31,XLE,-0.1613,-0.1398,-0.1321,-0.2012,52,2,0.356412,bear,false
WMB,2006-06-30,XLE,0.0210,0.0814,-0.0195,-0.0360,3,13,1.321147,bull,true
WMB,2009-03-27,XLE,0.1922,0.3697,0.3480,0.0000,8,14,6.653088,bear,true
WMB,2010-08-13,XLE,-0.0024,0.0214,0.1571,-0.0470,12,2,0.651882,bear,true
WMB,2011-10-21,XLE,0.0096,0.0358,0.1524,-0.0152,3,2,0.725272,bear,true
KMI,2013-11-22,XLE,-0.0085,0.0014,-0.0376,-0.0757,30,2,0.158367,bull,true
KMI,2020-10-16,XLE,0.0435,0.1723,0.1516,-0.0876,9,11,0.615184,bull,true
KMI,2021-10-15,XLE,-0.0819,-0.1105,-0.0494,-0.1419,2,3,0.372174,bull,true
HAL,2016-02-26,XLE,0.0794,0.2517,0.2538,0.0000,7,2,1.178882,bear,true
HAL,2017-12-08,XLE,0.1780,0.1864,0.0464,0.0000,2,14,7.035518,bull,true
HAL,2018-09-28,XLE,-0.1330,-0.2425,-0.3583,-0.2425,52,2,0.752853,bull,false
HAL,2019-01-18,XLE,-0.0124,-0.1276,-0.0228,-0.1432,48,2,1.369559,bear,true
HAL,2019-04-12,XLE,-0.1906,-0.3039,-0.2589,-0.3205,36,14,7.752882,bull,false
HAL,2021-09-24,XLE,0.2329,0.0495,0.0548,0.0000,3,2,0.281081,bull,true
HAL,2024-03-15,XLE,0.0514,-0.0175,-0.0922,-0.0265,3,4,0.487476,bull,true
DVN,2001-08-24,XLE,-0.2372,-0.2584,-0.3136,-0.2972,28,4,0.546294,bear,false
DVN,2008-12-19,XLE,-0.1214,-0.2119,-0.3212,-0.2119,24,6,2.620964,bear,false
DVN,2010-09-24,XLE,0.0183,0.1427,0.1434,0.0000,4,8,1.824265,bull,true
DVN,2019-01-25,XLE,0.0881,0.1164,0.2345,-0.0855,12,2,1.230029,bear,true
DVN,2025-08-08,XLE,0.0445,0.0458,-0.0168,0.0000,3,13,5.207771,bull,true
DVN,2025-08-22,XLE,-0.0273,-0.0909,0.0266,-0.0909,1,15,5.327019,bull,true
HES,2008-12-26,XLE,0.1731,0.0518,0.2621,0.0000,20,7,2.401588,bear,true
HES,2009-09-25,XLE,0.1106,0.1085,0.0873,-0.0243,4,8,2.012263,bull,true
HES,2010-08-06,XLE,-0.0054,0.0978,0.1359,-0.0783,9,7,1.373781,bull,true
HES,2015-04-17,XLE,-0.1007,-0.1233,-0.1663,-0.1469,52,14,9.323966,bull,true
HES,2016-02-26,XLE,0.2157,0.4789,0.3454,0.0000,7,2,3.000621,bear,true
HES,2017-05-26,XLE,-0.1353,-0.0922,-0.1969,-0.1353,22,7,1.432545,bull,true
HES,2017-09-22,XLE,0.0119,0.0011,-0.0191,-0.0216,5,10,2.599524,bull,true
HES,2020-07-24,XLE,-0.0585,-0.1426,-0.2414,-0.1429,4,15,23.464471,bull,true
HES,2020-11-20,XLE,0.2078,0.3176,0.2952,0.0000,3,2,1.665559,bull,true
HES,2024-10-11,XLE,0.0171,0.0124,-0.0207,-0.0146,8,2,1.939424,bull,true
FANG,2019-12-20,XLE,0.0173,-0.1483,-0.6892,-0.1566,51,2,3.736066,bull,false
FANG,2020-11-20,XLE,0.1506,0.4868,0.7349,0.0000,3,16,7.037102,bull,true
FANG,2025-08-01,XLE,0.0252,0.0216,0.0052,-0.0567,11,12,23.699370,bull,true
BKR,2020-07-31,XLE,-0.0342,-0.1431,-0.0674,-0.1431,15,16,7.440059,bull,true
BKR,2024-03-15,XLE,0.0226,0.0072,-0.0146,-0.0059,5,2,0.879588,bull,true
MRO,2008-12-19,XLE,0.0967,0.0497,-0.0813,-0.0455,19,4,0.877294,bear,true
MRO,2011-10-14,XLE,0.1540,0.1602,0.2569,0.0000,15,6,0.704235,bear,true
MRO,2015-04-10,XLE,0.0045,-0.0694,-0.1115,-0.0694,5,13,3.529213,bull,true
MRO,2017-09-22,XLE,0.0891,0.1807,0.1775,0.0000,4,9,1.329459,bull,true
MRO,2020-07-31,XLE,-0.0182,-0.2459,-0.1913,-0.2459,18,16,4.825765,bull,false
MRO,2020-10-16,XLE,0.2432,0.7441,0.8652,-0.0270,7,16,1.303662,bull,true
OKE,2004-08-20,XLE,0.0771,0.1327,0.2298,0.0000,1,11,0.673824,bear,true
OKE,2006-01-13,XLE,-0.0577,0.0365,0.1748,-0.0577,10,5,0.216824,bull,true
OKE,2025-06-13,XLE,-0.0288,-0.0993,-0.1215,-0.0993,33,5,1.384647,bull,true
OKE,2025-11-21,XLE,0.0162,0.0549,0.2382,0.0000,10,11,3.063401,bull,true
APA,2006-04-21,XLE,-0.1415,-0.1859,-0.0996,-0.1859,1,2,1.634294,bull,false
APA,2006-10-27,XLE,-0.0203,0.0024,0.0232,-0.0203,6,16,2.702912,bull,true
APA,2010-08-06,XLE,-0.0347,0.0243,0.0544,-0.0623,10,2,2.160235,bull,true
APA,2010-09-24,XLE,0.0338,0.1135,0.1884,0.0000,3,9,6.838206,bull,true
APA,2013-05-10,XLE,0.0168,-0.0139,-0.0136,-0.0244,3,7,1.774044,bull,true
APA,2014-04-11,XLE,0.0860,0.1522,0.2221,0.0000,4,2,1.036790,bull,true
APA,2017-06-09,XLE,-0.0668,-0.0599,-0.1792,-0.0668,32,3,0.437287,bull,true
APA,2017-07-07,XLE,0.0075,-0.1204,0.0204,-0.1204,28,7,0.322309,bull,true
APA,2019-09-20,XLE,-0.1302,-0.0631,-0.1634,-0.1698,16,2,1.803588,bull,false
APA,2019-11-15,XLE,-0.1071,0.3542,0.1849,-0.1639,8,10,3.981029,bull,false
APA,2024-03-15,XLE,0.0537,-0.0433,-0.0915,-0.0786,52,2,0.492721,bull,true
GE,2010-12-03,XLI,0.0984,0.2131,0.2589,0.0000,1,12,1.087441,bull,true
GE,2011-12-16,XLI,0.1180,0.1201,0.1398,0.0000,3,14,2.067265,bear,true
GE,2017-09-29,XLI,-0.1402,-0.2477,-0.2763,-0.2477,52,2,0.232168,bull,false
GE,2018-07-13,XLI,-0.0806,-0.1073,-0.0421,-0.1145,44,16,3.601499,bull,true
CAT,2011-10-28,XLI,-0.1046,-0.0475,0.0956,-0.1046,11,2,3.555015,bull,true
CAT,2011-12-30,XLI,0.2337,0.2860,0.1954,0.0000,2,11,18.219714,bull,true
CAT,2012-11-09,XLI,0.0240,0.1239,0.1780,-0.0355,7,15,9.805941,bull,true
CAT,2013-09-06,XLI,0.0097,0.0094,0.0216,0.0000,10,8,1.354921,bull,true
CAT,2015-04-10,XLI,0.0658,0.0504,0.0300,0.0000,49,8,2.536034,bull,true
CAT,2016-02-19,XLI,0.1536,0.2102,0.0816,0.0000,4,16,1.739297,bear,true
CAT,2019-01-11,XLI,-0.0204,0.0006,0.0692,-0.0204,9,7,4.723382,bear,true
CAT,2020-05-29,XLI,0.0188,0.1539,0.1610,0.0000,7,7,8.269853,bull,true
CAT,2021-12-31,XLI,-0.0221,-0.0907,0.0858,-0.0907,2,10,14.015203,bull,true
HON,2000-08-11,XLI,0.0018,0.0447,0.4778,0.0000,13,2,1.767853,bull,true
HON,2000-10-20,XLI,0.1127,0.0447,0.0145,0.0000,3,12,7.813559,bear,true
HON,2003-03-21,XLI,-0.0620,0.0431,0.1671,-0.1015,9,16,4.233147,bull,true
HON,2025-05-16,XLI,0.0063,0.0586,-0.0295,-0.0048,2,2,7.078369,bull,true
UNP,2004-09-03,XLI,0.0393,0.1001,0.1078,0.0000,5,13,1.489412,bull,true
UNP,2008-12-26,XLI,-0.0952,-0.1478,-0.1705,-0.1478,21,8,5.439059,bear,true
UNP,2009-03-27,XLI,0.1426,0.0735,0.2165,0.0000,8,15,13.829447,bear,true
UNP,2015-10-02,XLI,-0.0277,-0.0745,-0.1370,-0.0884,31,3,2.303519,bear,true
UNP,2016-02-12,XLI,0.0599,0.0326,0.1182,0.0000,12,1,0.775511,bear,true
UNP,2019-11-08,XLI,-0.0179,0.0333,0.0244,-0.0179,1,2,4.088941,bull,true
UNP,2022-07-29,XLI,0.0175,-0.0975,-0.1569,-0.0975,50,2,4.038971,bear,true
UNP,2023-04-21,XLI,0.0006,0.0362,0.0682,-0.0289,12,2,3.146662,bull,true
RTX,2003-01-10,XLI,-0.0101,-0.1083,-0.0624,-0.1083,1,12,9.028588,bear,true
RTX,2008-04-18,XLI,0.0243,-0.0504,-0.1594,-0.0719,52,2,1.254147,bear,true
RTX,2008-12-19,XLI,-0.0053,-0.0833,-0.2035,-0.0833,21,6,0.983676,bear,true
RTX,2012-08-10,XLI,0.0265,0.0149,0.0092,0.0000,4,8,1.072889,bull,true
RTX,2016-02-26,XLI,0.0140,0.0820,0.0212,-0.0096,3,16,3.233388,bear,true
LMT,2005-12-09,XLI,0.0405,0.0954,0.1729,0.0000,3,2,0.408382,bull,true
LMT,2010-01-29,XLI,0.0520,0.1397,0.1759,0.0000,2,11,3.637794,bull,true
LMT,2010-12-23,XLI,0.1440,0.1814,0.1738,0.0000,5,13,2.799169,bull,true
LMT,2019-02-01,XLI,0.0726,0.0403,0.1379,0.0000,12,2,11.372108,bear,true
LMT,2019-04-18,XLI,0.0755,0.1214,0.1833,0.0000,1,13,40.666873,bull,true
DE,2003-04-17,XLI,0.0658,0.0974,0.1131,0.0000,8,2,0.917324,bull,true
DE,2004-11-19,XLI,0.0543,0.0267,0.0048,0.0000,1,12,2.680168,bull,true
DE,2008-02-15,XLI,-0.0249,0.0186,0.0186,-0.0679,52,1,0.449441,bear,true
DE,2008-07-25,XLI,-0.0237,-0.0838,-0.4273,-0.0860,41,16,17.326353,bear,true
DE,2022-01-07,XLI,-0.0242,0.0302,0.1035,-0.0836,1,11,19.752716,bull,true
DE,2023-12-22,XLI,-0.0320,-0.0877,-0.0303,-0.0877,15,2,3.315649,bull,true
DE,2026-01-16,XLI,0.1721,0.1227,0.1795,0.0000,1,12,19.120481,bull,true
UPS,2007-06-08,XLI,0.0191,0.0394,0.0490,0.0000,5,9,1.011029,bull,true
UPS,2008-03-28,XLI,0.0064,-0.0667,-0.0757,-0.0667,5,8,2.796265,bear,true
UPS,2009-03-27,XLI,0.0633,-0.0006,-0.0310,-0.0006,5,2,1.945765,bear,true
UPS,2012-11-02,XLI,0.0030,-0.0008,0.1312,-0.0394,10,4,0.455868,bull,true
UPS,2014-10-31,XLI,0.0543,0.0735,-0.0128,0.0000,1,8,1.046676,bull,true
UPS,2015-08-07,XLI,-0.0603,-0.0200,0.0158,-0.0603,10,15,2.633833,bull,true
UPS,2017-05-05,XLI,0.0102,0.0376,0.0289,-0.0297,10,2,0.582137,bull,true
UPS,2018-04-27,XLI,0.0211,0.0053,-0.0091,-0.0235,6,2,1.089574,bull,true
UPS,2024-03-15,XLI,-0.0552,-0.0285,-0.0926,-0.0691,52,16,19.153941,bull,true
